# ID_1 ra_1 dec_1 mu_ra_1 mu_dec_1 mu_ra_err_1 mu_dec_err_1 plx_1 plx_err_1 RV_1 RV_err_1 ID_2 ra_2 dec_2 mu_ra_2 mu_dec_2 mu_ra_err_2 mu_dec_err_2 plx_2 plx_err_2 RV_2 RV_err_2 BP_1 RP_1 BP_2 RP_2
1.610445477089736704e+18 2.159943718602279432e+02 5.629915475660867941e+01 -6.042945031000305001e+00 2.480474626539066563e+01 4.953618189384231124e-02 4.358543676030933456e-02 6.180559389489775235e+00 2.450154972590930236e-02 -1.762271191378516288e+00 5.807463083324719832e-01 1.611206820172944896e+18 2.157720551028283751e+02 5.646615174040459095e+01 -4.460679109444033230e+00 2.678980706045481952e+01 1.759171315017181159e-01 1.594404050248912075e-01 5.612394847697287581e+00 9.273910368009045946e-02 -3.780408178096938521e+00 9.579415502182796471e-01 1.195344500000000032e+01 1.097767200000000010e+01 1.123320000000000007e+01 1.035676199999999980e+01
1.999696507711960576e+18 3.342194836737933201e+02 4.903437042837470727e+01 7.827128390672980629e+01 5.938982095360896096e+01 4.409541666270675592e-02 4.402165003267108356e-02 1.055315921080528518e+01 2.714211864722079412e-02 -3.886841189795119078e+01 6.603349884199474218e-01 1.999696576431432448e+18 3.342195300971507095e+02 4.904791595545866301e+01 7.923249879798427742e+01 6.154767805265856850e+01 4.942298326914746909e-01 4.563287030376635411e-01 1.216086658408680599e+01 2.953491600714634457e-01 -3.587249938198650767e+01 1.648590434264036952e+00 1.148545999999999978e+01 1.030631799999999920e+01 8.789379000000000275e+00 8.043730999999999298e+00
5.321530317305022464e+18 1.275904875623121484e+02 -5.170083325447779998e+01 -1.146485981527950138e+01 1.549979875408149788e+01 4.921291501993339118e-02 4.454355203368014909e-02 8.202200914403613652e+00 2.587573951625887075e-02 2.338506924527110442e+01 4.964887543278553306e-01 5.321553024789777408e+18 1.276633350178635311e+02 -5.168354738083393585e+01 -1.180318887576405018e+01 1.383735190573206886e+01 5.435775318727337907e-02 4.844271675365729307e-02 7.493780186010271294e+00 2.810908486593216571e-02 2.343070979238317619e+01 1.307272842637859034e+00 1.145175700000000063e+01 1.044260000000000055e+01 1.049264800000000086e+01 9.687689000000000661e+00
6.912143967581710336e+18 3.167256769362272166e+02 -4.588734253751980852e+00 -8.080843456552841531e+00 -4.719855565291043575e+01 7.880383340128063741e-02 5.880293212953272702e-02 5.960940156222653385e+00 4.270413969765433221e-02 6.658123125797093422e+00 2.349020802360059501e-01 6.912143967581710336e+18 3.167269821447834488e+02 -4.588101737986131745e+00 -8.630258239650419938e+00 -4.443039341126504382e+01 2.631730464499795752e-01 1.753201806074707048e-01 4.702324333649907651e+00 1.195972848352899465e-01 5.763424316543659387e+00 7.198025140626207907e+00 1.059367800000000059e+01 9.696972999999999843e+00 1.070467900000000050e+01 9.823709499999999650e+00
1.060279957681258752e+18 1.659789068755817993e+02 6.818008550173907167e+01 -2.910341489411002769e+01 -2.424730446365531122e+01 6.229043245625978664e-02 5.996571921603102012e-02 5.469285214589839406e+00 3.629907274738920775e-02 8.440818898095916012e+00 6.239322663399325286e+00 1.060288788134008704e+18 1.668102870956614368e+02 6.820214088005417352e+01 -2.793877137046358428e+01 -2.314701959716476409e+01 4.024379979023420817e-02 4.728630059199973035e-02 4.705264537053014173e+00 2.579441366919790410e-02 7.557764414394240404e+00 4.692601740270850308e-01 1.157662900000000050e+01 1.060983799999999988e+01 1.011465500000000084e+01 9.500985999999999265e+00
3.730531082032200192e+18 1.955293138679511458e+02 7.281074153657879577e+00 -1.212407297583316534e+02 1.474032739071500053e+01 1.991142245199811200e-01 2.149485586057072739e-01 1.129758663611801772e+01 1.065168389972184493e-01 -2.309682771061766005e+01 7.902575405860495783e-01 3.730531082032171008e+18 1.955322464778351161e+02 7.279774740788629295e+00 -1.233086107962170388e+02 1.622502292855795147e+01 8.651054202596361598e-02 5.959422799121601166e-02 9.379162649387431827e+00 5.013798773065860498e-02 -2.455517211354543505e+01 2.664732514213532522e-01 1.045757799999999982e+01 9.623582999999999998e+00 9.288330000000000197e+00 8.608287000000000688e+00
1.637287545220808960e+18 2.611424510248603497e+02 6.781031830248164738e+01 -9.845499726609521218e+00 1.768070111648508203e+01 3.709846876384784164e-02 5.441002306705022135e-02 5.352058046679836423e+00 2.147074258853336540e-02 -2.438845955411307997e+01 4.209051888108699124e-01 1.637484319147151360e+18 2.613341348917074924e+02 6.812365345822342988e+01 -6.531428488116151954e+00 2.129519860944954246e+01 4.205108071094779826e-02 4.559398922018508687e-02 4.414523138571636807e+00 2.061311535245418519e-02 -2.182674323663509597e+01 9.221650860144531281e-01 9.886084000000000316e+00 9.172511999999999333e+00 1.271050499999999950e+01 1.170724500000000035e+01
6.053744657018593280e+18 1.871054518049297712e+02 -6.334969808961925963e+01 -3.739223572426777764e+01 -1.141036058087625449e+01 4.214471293705542715e-02 4.392659175720259324e-02 9.262814811254576952e+00 2.998976439583857581e-02 1.376401945676335359e+01 4.389799983362346225e+00 6.053750734358971392e+18 1.872526876807879717e+02 -6.320523916960618749e+01 -3.764393372284467176e+01 -1.219312683479780191e+01 4.329599238639535164e-02 5.236714132716556447e-02 9.587352211692651949e+00 3.276426906093295177e-02 1.439125981156798595e+01 1.156378950375394954e+00 9.550788999999999973e+00 8.547770500000000382e+00 1.163830500000000079e+01 1.006745800000000024e+01
5.089585414545950720e+18 6.139377607463254094e+01 -2.255040956292146959e+01 2.380820426686200975e+01 -1.436091575941607523e+01 4.289921810331791957e-02 4.576019744743493184e-02 5.190392584632294692e+00 3.047820795440435090e-02 2.636920113441644276e+01 2.744003862339847166e-01 5.089592118990758912e+18 6.138396688697599757e+01 -2.253019466592621001e+01 2.441672951965426108e+01 -1.413267703956697119e+01 4.206965099881838921e-02 4.680860442883686551e-02 5.411537211259200397e+00 3.031166349037343888e-02 2.589016231182840144e+01 9.381139535466865853e-01 1.077033100000000054e+01 1.007091999999999921e+01 1.146284999999999954e+01 1.050164000000000009e+01
1.435195349531588864e+18 2.681686989968773673e+02 6.050369233744719111e+01 -1.963490327894673726e+01 3.276013834071767405e+01 5.217333878105660794e-02 4.737207742549667810e-02 7.509549818950425504e+00 2.275225697285663401e-02 -1.602328339623288755e+01 3.810231963493013740e-01 1.435195349531589120e+18 2.681752370794418994e+02 6.050262063879689833e+01 -2.765116658064679456e+01 3.236136738510897004e+01 7.522340506544869521e-02 8.588624650669240967e-02 6.901287582269276299e+00 3.302044847974871383e-02 -1.770097811229922513e+01 1.162482029972872422e+00 1.048318699999999914e+01 9.705785999999999802e+00 1.166179400000000044e+01 1.064342300000000030e+01
